Ad Number,Position,Category,Requirements,Requirements_processed,Sentiment,Domination
11,Proje Uzman Yardımcısı,Manager/director/head (assistant),Analiz Yapma Raporlama ve İstatistiksel Veri Oluşturma Yeteneklerine Sahip İleri derecede İngilizce bilen aktif kullanan MS Office Programlarını özellikle exceli iyi derecede kullanabilen Üniversitelerin ilgili bölümlerinden mezun Konusunda en az iki yıl tecrübeli Tercihen saha ekiplerinden bilgi alarak rapor oluşturma konusunda tecrübeli Saha ekibi yönetebilecek İletişim becerileri güçlü Yeni teknolojiler hakkında bilgi sahibi takım çalışmasına yatkın iletişim yeteneği güçlü takipçi çözüm üretebilen Pratik ve analitik düşünebilen Sistemli ve düzenli çalışan Erkek adaylar için askerlik görevini tamamlamış,analiz yapma raporlama ve istatistiksel veri oluşturma yeteneklerine sahip ileri derecede ingilizce bilen aktif kullanan ms office programlarını özellikle exceli iyi derecede kullanabilen üniversitelerin ilgili bölümlerinden mezun konusunda en az iki yıl tecrübeli tercihen saha ekiplerinden bilgi alarak rapor oluşturma konusunda tecrübeli saha ekibi yönetebilecek iletişim becerileri güçlü yeni teknolojiler hakkında bilgi sahibi takım çalışmasına yatkın iletişim yeteneği güçlü takipçi çözüm üretebilen pratik ve analitik düşünebilen sistemli ve düzenli çalışan erkek adaylar için askerlik görevini tamamlamış,positive,male-dominated
12,İhracat asistanı,Assistant,"Avrupa Afrika ve Ortadoğu piyasasında mevcut distribütörlerle iş geliştirme ve yeni distribütörlükler oluşturarak pazar elde edilmesi Yurtdışı satış toplantı ve organizasyonlarını lojistik ve evrak süreçlerini organize edilmesi Herhangi bir iş tecrübesi zorunluluğu yoktur İyi derecede yazılı ve sözlü İngilizce bilgisi bulunan
MS Office programlarını kullanabilen Raporlama ve CRM işlerini yürütebilecek kendi müşteri portföyünün operasyon işlerini yapacak takip edecek ve gerektiğinde firmanın eski müşteri portföyünün işlerinine yardımcı olacak Prezantabl kişisel gelişimine önem veren ve iş hayatında enerjisiyle aktif kişiliğe sahip
Seyahat engeli bulunmayan Gümrük işlemleri ve ihracat/ithalat lojistik organizasyonlarla alakalı sorumlulukların yerine getirilmesi Yurtdışı ürün satışında tüm ihracat operasyonlarını yerine getirmek İhracatı yapılan ürünlere ait tüm resmi kurumlarla olan süreçleri yerine getirmek Yurt dışındaki dış pazarlara yönelik piyasa araştırması yapacak","avrupa afrika ve ortadoğu piyasasında mevcut distribütörlerle iş geliştirme ve yeni distribütörlükler oluşturarak pazar elde edilmesi yurtdışı satış toplantı ve organizasyonlarını lojistik ve evrak süreçlerini organize edilmesi herhangi bir iş tecrübesi zorunluluğu yoktur iyi derecede yazılı ve sözlü ingilizce bilgisi bulunan
ms office programlarını kullanabilen raporlama ve crm işlerini yürütebilecek kendi müşteri portföyünün operasyon işlerini yapacak takip edecek ve gerektiğinde firmanın eski müşteri portföyünün işlerinine yardımcı olacak prezantabl kişisel gelişimine önem veren ve iş hayatında enerjisiyle aktif kişiliğe sahip
seyahat engeli bulunmayan gümrük işlemleri ve ihracat/ithalat lojistik organizasyonlarla alakalı sorumlulukların yerine getirilmesi yurtdışı ürün satışında tüm ihracat operasyonlarını yerine getirmek ihracatı yapılan ürünlere ait tüm resmi kurumlarla olan süreçleri yerine getirmek yurt dışındaki dış pazarlara yönelik piyasa araştırması yapacak",negative,female-dominated
13,Saha Satış Temsilcisi,Sales Representative/Specialist,Üniversitelerin tercihen Mühendislik bölümünlerinden mezun Satış alanında tecrübeli yüksek iletişim becerisine sahip hedef ve sonuç odaklı çalışan Tercihen iyi derecede İngilizce bilen Aktif olarak araç kullanabilen Motivasyonu yüksek takım çalışmasına uyumlu ve öğrenmeye açık İzmir’de ikamet eden veya edebilecek olan,üniversitelerin tercihen mühendislik bölümünlerinden mezun satış alanında tecrübeli yüksek iletişim becerisine sahip hedef ve sonuç odaklı çalışan tercihen iyi derecede ingilizce bilen aktif olarak araç kullanabilen motivasyonu yüksek takım çalışmasına uyumlu ve öğrenmeye açık izmir’de ikamet eden veya edebilecek olan,positive,male-dominated
14,Üretim Mühendisi,Engineering,Üniversitelerin Mühendislik bölümlerinden mezun Analitik düşünebilen iletişim becerisi yüksek Problem çözme becerileri gelişmiş sonuç odaklı Tercihen iyi derecede İngilizce bilen İyi derecede Ofis programlarını kullanabilen,üniversitelerin mühendislik bölümlerinden mezun analitik düşünebilen iletişim becerisi yüksek problem çözme becerileri gelişmiş sonuç odaklı tercihen iyi derecede ingilizce bilen iyi derecede ofis programlarını kullanabilen,positive,male-dominated
15,Yazılım Mühendisi,Engineering,Üniversitelerin Bilgisayar Elektrik-Elektronik Telekomünikasyon vb. mühendislik bölümlerinden mezun C++ ile Object Oriented programlama konusunda tecrübeli Qt framework hakkında bilgi sahibi Modelleme ve simülasyon alanlarına ilgili Multi-threaded yazılım mimarileri hakkında bilgi sahibi Haberleşme protokolleri konularında bilgili Linux işletim sistemleri hakkında tecrübeli Cross-platform yazılım geliştirmeye istekli İyi seviyede İngilizce bilen Takım çalışmasına yatkın ve girişken,üniversitelerin bilgisayar elektrik-elektronik telekomünikasyon vb. mühendislik bölümlerinden mezun c++ ile object oriented programlama konusunda tecrübeli qt framework hakkında bilgi sahibi modelleme ve simülasyon alanlarına ilgili multi-threaded yazılım mimarileri hakkında bilgi sahibi haberleşme protokolleri konularında bilgili linux işletim sistemleri hakkında tecrübeli cross-platform yazılım geliştirmeye istekli iyi seviyede ingilizce bilen takım çalışmasına yatkın ve girişken,neutral,male-dominated
16,Sekreter,Secretary,Tecrübeli veya tecrübesiz Kocaelide ikamet eden Tercihen MYO herhangi bölümünden mezun yirmi-kırk yaşları arasında bayan,tecrübeli veya tecrübesiz kocaelide ikamet eden tercihen myo herhangi bölümünden mezun yirmi-kırk yaşları arasında bayan,negative,female-dominated
17,Sekreter/Ofis Asistanı,Assistant, En az lise tercihen MYO veya Üniversite mezunu Başlangıç düzeyde İngilizce iletişim becerisine sahip Bilgisayar bilgisine sahip MS Office uygulamalarına hakim İletişim becerileri güçlü Diksiyonu iyi dış görünümüne özen gösteren dinamik motivasyonu yüksek ve güleryüzlü İnsan ilişkileri kuvvetli konuksever misafir memnuniyeti odaklı bayan , en az lise tercihen myo veya üniversite mezunu başlangıç düzeyde ingilizce iletişim becerisine sahip bilgisayar bilgisine sahip ms office uygulamalarına hakim iletişim becerileri güçlü diksiyonu iyi dış görünümüne özen gösteren dinamik motivasyonu yüksek ve güleryüzlü insan ilişkileri kuvvetli konuksever misafir memnuniyeti odaklı bayan ,negative,female-dominated
18,Sekreter,Secretary,Hadımköy Arnavutköy bölgesinde ikamet eden  ekip çalışmasına uygun prenzentabl on sekiz-kırk yaş aralığında ofis düzenini ve temizliğini sağlayacak  güler yüzlü,hadımköy arnavutköy bölgesinde ikamet eden  ekip çalışmasına uygun prenzentabl on sekiz-kırk yaş aralığında ofis düzenini ve temizliğini sağlayacak  güler yüzlü,negative,female-dominated
19,Sekreter,Secretary,Tercihen Kadıköy veya yakın bölgede ikamet eden Minimum iki yıl iş tecrübesine sahip Office programlarına hakim ve aktif kullanabilen Sorumluluk bilinci yüksek takipçi ve iş temposuna uyum sağlayabilen Sözlü ve yazılı iletişim yeteneği kuvvetli Diksiyonu düzgün güler yüzlü akıcı ve anlaşılır konuşan En az ön lisans ve üzeri mezuniyet durumuna sahip,tercihen kadıköy veya yakın bölgede ikamet eden minimum iki yıl iş tecrübesine sahip office programlarına hakim ve aktif kullanabilen sorumluluk bilinci yüksek takipçi ve iş temposuna uyum sağlayabilen sözlü ve yazılı iletişim yeteneği kuvvetli diksiyonu düzgün güler yüzlü akıcı ve anlaşılır konuşan en az ön lisans ve üzeri mezuniyet durumuna sahip,negative,female-dominated
20,Tıbbi Sekreter,Assistant,Güler yüzlü iletişimi kuvvetli ekip çalışmasına yatkın Dış görünümüne ve kişisel bakımına özen gösteren Hasta ve hasta yakınları ile etkili iletişim kurabilme becerisine sahip kadın,güler yüzlü iletişimi kuvvetli ekip çalışmasına yatkın dış görünümüne ve kişisel bakımına özen gösteren hasta ve hasta yakınları ile etkili iletişim kurabilme becerisine sahip kadın,negative,female-dominated
21,Resepsiyonist,Receptionist,Kişisel bakım ve hijyenine önem veren ahlaki değerler ve iş disiplinine sahip A ve B shiftlerinne çalışabilecek İngilizce diline ve otel programlarına hakim TC vatandaşı ,kişisel bakım ve hijyenine önem veren ahlaki değerler ve iş disiplinine sahip a ve b shiftlerinne çalışabilecek ingilizce diline ve otel programlarına hakim tc vatandaşı ,negative,female-dominated
22,Resepsiyonist,Receptionist,Turizm ve Otelcilik eğitimi veren Üniversite veya Meslek Yüksek Okulu ya da Turizm Meslek Lisesi mezunu İyi derecede İngilizce bilen Benzer pozisyonda en az iki yıl tecrübe sahibi Ms office uygulamalarına hakim Otelcilik programlarını kullanabilen Ekip çalışmasına yatkın Güler yüzlü pozitif dış görünümüne özen gösteren İnsan ilişkilerinde başarılı iletişim ve problem çözme becerisi yüksek Askerlik hizmetini tamamlamış,turizm ve otelcilik eğitimi veren üniversite veya meslek yüksek okulu ya da turizm meslek lisesi mezunu iyi derecede ingilizce bilen benzer pozisyonda en az iki yıl tecrübe sahibi ms office uygulamalarına hakim otelcilik programlarını kullanabilen ekip çalışmasına yatkın güler yüzlü pozitif dış görünümüne özen gösteren insan ilişkilerinde başarılı iletişim ve problem çözme becerisi yüksek askerlik hizmetini tamamlamış,negative,female-dominated
23,Sekreter,Secretary,Bizimle çalışacak sekreteryadan sorumlu olacak satış ve teklif raporlarını gün sonu hazırlayacak ve çay kahve servisi yapacak bayan,bizimle çalışacak sekreteryadan sorumlu olacak satış ve teklif raporlarını gün sonu hazırlayacak ve çay kahve servisi yapacak bayan,negative,female-dominated
24,Sekreter,Secretary,"Tercihen bilişim sektöründe çalışmış Bayan Dış görünüşüne özen gösteren Diksiyonu düzgün ve güler yüzlü Ekip çalışmasına uyumlu
Hedefi olan kariyer düşünen Tercihen Yabancı Dil bilen Office Programlarına Hakim Üniversite Halkla İlişkiler veya Benzer Bölümlerden Mezun","tercihen bilişim sektöründe çalışmış bayan dış görünüşüne özen gösteren diksiyonu düzgün ve güler yüzlü ekip çalışmasına uyumlu
hedefi olan kariyer düşünen tercihen yabancı dil bilen office programlarına hakim üniversite halkla ilişkiler veya benzer bölümlerden mezun",negative,female-dominated
25,Anaokulu Öğretmeni,Teaching/Teacher,Kaliteli bakım ve eğitime dair net bir anlayışa sahip olmak ve çocuk gelişimi hakkında kapsamlı bir bilgiye sahip olmak Tercihen min. üç ila dört yaş arası çocuklarla iki yıllık öğretmenlik deneyimi Kadın Enerjik yaratıcı ve yüksek motivasyonlu Dinamik ve eğlenceli bir eğitim ortamında çalışmaya istekli Kişisel ve mesleki bütünlük ve gizlilik göstermek Türkçeyi anlamak ve konuşmak ,kaliteli bakım ve eğitime dair net bir anlayışa sahip olmak ve çocuk gelişimi hakkında kapsamlı bir bilgiye sahip olmak tercihen min. üç ila dört yaş arası çocuklarla iki yıllık öğretmenlik deneyimi kadın enerjik yaratıcı ve yüksek motivasyonlu dinamik ve eğlenceli bir eğitim ortamında çalışmaya istekli kişisel ve mesleki bütünlük ve gizlilik göstermek türkçeyi anlamak ve konuşmak ,negative,female-dominated
26,İnşaat ve Proje Mühendisi,Engineering,Önde gelen üniversitelerin İnşaat Mühendisliği bölümünden mezun İyi derecede İngilizce dil bilgisine sahip B sınıfı sürücü ehliyetine sahip Erkek adaylar için askerlik hizmetini tamamlamış Seyahat engeli bulunmayan İyi seviyede etkin yazma ve okuma yetisine sahip AutoCad Etaps vb. mesleki programları ve Excel Word gibi MS Ofis programlarını kullanabilen Ekip içerisinde saha şantiye ve ofis ortamında çalışmaya uygun Öğrenmeye açık ve iyileştirme gayretlerine olumlu yaklaşan üretken iş yapmaya ve sorumluluk üstlenmeye hevesli üstlendiği işi kendi başına sürükleyebilecek iç motivasyonu yüksek mesleki paylaşıma ve işbirliğine açık kişilik özelliklerinde olmak Tercihen üç-beş yıllık bir deneyime sahip Tercihen iki-üç yıl endüstriyel tesis tecrübesine sahip Tercihen sektörü bilen bir endüstriyel tesis yapım işinde görev almış,önde gelen üniversitelerin inşaat mühendisliği bölümünden mezun iyi derecede ingilizce dil bilgisine sahip b sınıfı sürücü ehliyetine sahip erkek adaylar için askerlik hizmetini tamamlamış seyahat engeli bulunmayan iyi seviyede etkin yazma ve okuma yetisine sahip autocad etaps vb. mesleki programları ve excel word gibi ms ofis programlarını kullanabilen ekip içerisinde saha şantiye ve ofis ortamında çalışmaya uygun öğrenmeye açık ve iyileştirme gayretlerine olumlu yaklaşan üretken iş yapmaya ve sorumluluk üstlenmeye hevesli üstlendiği işi kendi başına sürükleyebilecek iç motivasyonu yüksek mesleki paylaşıma ve işbirliğine açık kişilik özelliklerinde olmak tercihen üç-beş yıllık bir deneyime sahip tercihen iki-üç yıl endüstriyel tesis tecrübesine sahip tercihen sektörü bilen bir endüstriyel tesis yapım işinde görev almış,positive,male-dominated
27,İnşaat Mühendisi,Engineering,Soğuk hava deposu tesislerinde tecrübeli Bandırmada ikamet eden veya edebilecek olan Endüstriyel tesislerde görev almış En az 10 yıl tecrübeli Üniversite mezunu Statik hesap yapabilecek Proje okuyabilen iyileştirme ve öneri sunabilecek,soğuk hava deposu tesislerinde tecrübeli bandırmada ikamet eden veya edebilecek olan endüstriyel tesislerde görev almış en az 10 yıl tecrübeli üniversite mezunu statik hesap yapabilecek proje okuyabilen iyileştirme ve öneri sunabilecek,positive,male-dominated
28,İhracat Satış Elemanı,Sales Representative/Specialist,Dış ticaret operasyonunda bilgi sahibi pazarlama satış personeli erkek Üniversite mezunu Askerlikle ilişiği kesilmiş Akıcı İngilizce konuşma yeteneği olan Hızlı düşünen Aktif dış ticaret pazarlamasında üç yıl tecrübesi bulunan Stres yönetiminde başarılı Bahçeşehir civarında oturan,dış ticaret operasyonunda bilgi sahibi pazarlama satış personeli erkek üniversite mezunu askerlikle ilişiği kesilmiş akıcı ingilizce konuşma yeteneği olan hızlı düşünen aktif dış ticaret pazarlamasında üç yıl tecrübesi bulunan stres yönetiminde başarılı bahçeşehir civarında oturan,positive,male-dominated
29,Satış Elemanı,Sales Representative/Specialist,üniversitelerin mühendislik bölümlerinden mezun teklif ve satış süreçlerini titizlikle takip edebilen sorumluluk sahibi düzenli çalışmayı seven insan ilişkileri kuvvetli müşteri odaklı düşünebilen yurt içi seyahat engeli bulunmayan İstanbul Başakşehirde çalışacak bayan,üniversitelerin mühendislik bölümlerinden mezun teklif ve satış süreçlerini titizlikle takip edebilen sorumluluk sahibi düzenli çalışmayı seven insan ilişkileri kuvvetli müşteri odaklı düşünebilen yurt içi seyahat engeli bulunmayan istanbul başakşehirde çalışacak bayan,negative,male-dominated
30,Resepsiyonist ve Oyun Ablası,Receptionist,Prezantabl etkin iletişim becerisine sahip genç dinamik ve güler yüzlü vardiyalı sistemde çalışabilir bayan,prezantabl etkin iletişim becerisine sahip genç dinamik ve güler yüzlü vardiyalı sistemde çalışabilir bayan,negative,female-dominated
31,Data Engineer,Engineering,"Üniversitelerin Mühendislik bölümlerinden mezun SSIS ile ETL işleri geliştirme konusunda en az iki yıl deneyimli ODI senaryolarında ftp ve mail gönderim vb. bileşenleri kullanmış knowledge modüller konusunda bilgi sahibi
İyi derecede MSSQL bilgisine sahip Ayrıca NoSQL tarafında da tecrübe edinmiş performans iyileştirme çalışmalarında bulunmuş Tercihen Flink Spark ve Kafka gibi açık kaynak veri teknolojileri ve Bulut tabanlı veri ambarları özellikle Redshift BigQuery veya Snowflake Apache Airflow Argo Workflow gibi orkestrasyon AWS ve Athena Glue Lambda ve Hudi Iceberg Delta Lake gibi data lake tablo formatları konusunda deneyimli Öğrenmeye açık alanındaki gelişmeleri takip eden takım çalışmasına yatkın çevik metodolojiler konusunda bilgi sahibi analiz yeteneği yüksek veriyi anlamlandırma konusunda yetkin Literatürü takip edecek ve problem çözümü destek çalışmalarında üreticilerin yurtdışı kaynakları ile İletişim kurabilecek düzeyde İngilizce bilen","üniversitelerin mühendislik bölümlerinden mezun ssis ile etl işleri geliştirme konusunda en az iki yıl deneyimli odi senaryolarında ftp ve mail gönderim vb. bileşenleri kullanmış knowledge modüller konusunda bilgi sahibi
iyi derecede mssql bilgisine sahip ayrıca nosql tarafında da tecrübe edinmiş performans iyileştirme çalışmalarında bulunmuş tercihen flink spark ve kafka gibi açık kaynak veri teknolojileri ve bulut tabanlı veri ambarları özellikle redshift bigquery veya snowflake apache airflow argo workflow gibi orkestrasyon aws ve athena glue lambda ve hudi iceberg delta lake gibi data lake tablo formatları konusunda deneyimli öğrenmeye açık alanındaki gelişmeleri takip eden takım çalışmasına yatkın çevik metodolojiler konusunda bilgi sahibi analiz yeteneği yüksek veriyi anlamlandırma konusunda yetkin literatürü takip edecek ve problem çözümü destek çalışmalarında üreticilerin yurtdışı kaynakları ile iletişim kurabilecek düzeyde ingilizce bilen",positive,male-dominated
